Part Detail,Selected by,Top Designator,Bottom Designator,Qty,Ext. Price,LCSC Link
FRC1206F4700TS,System,,,15.0,$0.08 ,https://www.lcsc.com/search?q=FRC1206F4700TS
0402WGF3300TCE,System,,,20.0,$0.02 ,https://www.lcsc.com/search?q=0402WGF3300TCE
CL10A106KP8NNNC,System,,,40.0,$0.36 ,https://www.lcsc.com/search?q=CL10A106KP8NNNC
0603WAF1003T5E,System,,,40.0,$0.03 ,https://www.lcsc.com/search?q=0603WAF1003T5E
NTD3528I7,System,,,44.0,$1.66 ,https://www.lcsc.com/search?q=NTD3528I7
TPS63070RNMT,System,,,5.0,$8.42 ,https://www.lcsc.com/search?q=TPS63070RNMT
CL31A226KAHNNNE,System,,,14.0,$2.50 ,https://www.lcsc.com/search?q=CL31A226KAHNNNE
0805W8F4702T5E,System,,,20.0,$0.04 ,https://www.lcsc.com/search?q=0805W8F4702T5E
0805W8F5233T5E,System,,,20.0,$0.05 ,https://www.lcsc.com/search?q=0805W8F5233T5E
KT-0603W,System,,,20.0,$0.24 ,https://www.lcsc.com/search?q=KT-0603W
RVT102470M0505,Customer,,,20.0,$0.58 ,https://www.lcsc.com/search?q=RVT102470M0505
SK6812,System,,,42.0,$3.73 ,https://www.lcsc.com/search?q=SK6812
0805W8F4701T5E,System,,,46.0,$0.10 ,https://www.lcsc.com/search?q=0805W8F4701T5E
2.54-1×3P#,Customer,,,12.0,$0.29 ,https://www.lcsc.com/search?q=2.54-1%C3%973P%23
MPT0603GT,System,,,44.0,$1.83 ,https://www.lcsc.com/search?q=MPT0603GT
CL05B104K05NNNC,System,,,40.0,$0.05 ,https://www.lcsc.com/search?q=CL05B104K05NNNC
1206W4F1002T5E,System,,,15.0,$0.09 ,https://www.lcsc.com/search?q=1206W4F1002T5E
CMI060808U22RK7,System,,,20.0,$0.34 ,https://www.lcsc.com/search?q=CMI060808U22RK7
JSM2302,Customer,,,15.0,$0.30 ,https://www.lcsc.com/search?q=JSM2302
CL10A105KB8NNNC,System,,,20.0,$0.22 ,https://www.lcsc.com/search?q=CL10A105KB8NNNC
KMR221GLFS,System,,,10.0,$5.31 ,https://www.lcsc.com/search?q=KMR221GLFS
0603WAF470J5E,System,,,40.0,$0.08 ,https://www.lcsc.com/search?q=0603WAF470J5E
,,,,,,https://www.lcsc.com/search?q=nan
,,,,,,https://www.lcsc.com/search?q=nan
,,,,,,https://www.lcsc.com/search?q=nan
Merchandise Total (Inclusive of assembly services),,,,,,https://www.lcsc.com/search?q=Merchandise+Total+%28Inclusive+of+assembly+services%29
153.07,,,,,,https://www.lcsc.com/search?q=153.07
Shipping Estimated,,,,,,https://www.lcsc.com/search?q=Shipping+Estimated
$8.85 ,,,,,,https://www.lcsc.com/search?q=%248.85+
Subtotal,,,,,,https://www.lcsc.com/search?q=Subtotal
$161.92 ,,,,,,https://www.lcsc.com/search?q=%24161.92+
